         55632 function calls (53686 primitive calls) in 7.142 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11/10    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 config.py:10(<module>)
        1    0.000    0.000    0.000    0.000 security.py:10(<module>)
        1    0.000    0.000    0.000    0.000 app.py:66(Flask)
      261    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 debughelpers.py:10(<module>)
      698    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
       72    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
      158    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 repr.py:15(<module>)
      270    0.000    0.000    0.000    0.000 sre_parse.py:210(isident)
        1    0.000    0.000    0.000    0.000 datastructures.py:2047(ETags)
        3    0.000    0.000    0.001    0.000 dyld.py:125(dyld_find)
      114    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 httplib.py:1276(LineAndFileWrapper)
      115    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        1    0.000    0.000    0.000    0.000 compiler.py:364(CodeGenerator)
        1    0.000    0.000    0.000    0.000 console.py:65(ThreadedStream)
       22    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
       76    0.000    0.000    0.000    0.000 {range}
       49    0.000    0.000    0.000    0.000 {all}
        2    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 SocketServer.py:120(<module>)
      117    0.000    0.000    0.001    0.000 re.py:140(match)
       26    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
        2    0.000    0.000    7.029    3.514 subprocess.py:473(_eintr_retry_call)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       60    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        1    0.000    0.000    0.000    0.000 templating.py:10(<module>)
      149    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       27    0.000    0.000    0.000    0.000 posixpath.py:68(join)
